Bias_Current,Counts_TL1(0.009),Counts_TL2(0.010),Counts_TL3(0.011),Counts_TL4(0.012),DCounts_TL1(0.009),DCounts_TL2(0.010),DCounts_TL3(0.011),DCounts_TL4(0.012)
0.4549,533513.6666666666,143920.95238095237,36049.90476190476,9026.642857142857,70478.0,17785.0,4428.666666666667,1193.0
0.4588,729750.4285714285,181527.95238095234,45635.88095238095,12124.690476190473,79546.0,24111.333333333332,6837.333333333333,1372.3333333333333
0.4627,824810.4047619046,217814.09523809524,54419.619047619046,15182.476190476189,197572.33333333334,38165.666666666664,13461.333333333334,2974.6666666666665
0.4667,592811.3333333333,119161.64285714281,31408.90476190475,8881.40476190476,544197.0,168524.66666666666,42828.0,10918.0
0.4706,1443.8809523808304,16828.047619047575,11145.523809523795,751.7619047619046,1101921.0,268782.6666666667,65147.333333333336,19861.333333333332
0.4745,-13646.40476190485,-4570.023809523846,1812.6904761904734,-180.33333333333212,1170705.3333333333,295239.6666666667,73801.0,19130.333333333332
0.4784,-6813.333333333489,-4175.690476190532,-581.7380952381063,-349.50000000000364,1116321.6666666667,275453.6666666667,73665.66666666667,20387.0
0.4824,-14299.73809523834,-2665.5238095238456,64.64285714285506,-372.2857142857174,1108283.6666666667,281164.3333333333,76880.0,20424.666666666668
0.4863,-10957.261904762127,-2433.9523809524253,-993.4285714285797,-358.69047619047706,1137415.0,284969.6666666667,76430.33333333333,20803.333333333332
0.4902,-15198.976190476213,-2608.8571428571595,-1144.9523809523962,-271.9761904761908,1139871.0,290549.3333333333,78705.66666666667,22052.333333333332
0.4941,-15435.142857142957,-4235.095238095266,-1510.9523809523816,-196.16666666666788,1173378.0,300238.6666666667,80263.33333333333,22075.333333333332
0.498,-12767.11904761917,-2989.7380952381645,-845.0476190476329,-196.33333333333576,1174423.6666666667,301648.6666666667,80526.0,22388.0
0.502,-11305.095238095382,-4298.190476190473,-1632.2380952380918,-282.3809523809541,1177342.0,305405.3333333333,81820.33333333333,22355.0
0.5059,-12633.357142857276,-5606.833333333372,-352.5476190476329,-549.1190476190495,1172078.0,301452.6666666667,79621.0,21972.333333333332
0.5098,-12854.714285714319,-3648.119047619053,-1226.047619047633,-258.1666666666715,1157019.0,294621.3333333333,78073.66666666667,21320.666666666668
