# metadata,value
mode,qcl
fudge_factor,1
cycles,10
cycles_completed,10
integration_time,3
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(-0.008),Counts_TL2(-0.010),Counts_TL3(-0.012),Counts_TL4(-0.014),DCounts_TL1(-0.008),DCounts_TL2(-0.010),DCounts_TL3(-0.012),DCounts_TL4(-0.014),ClicksOn_TL1(-0.008),ClicksOn_TL2(-0.010),ClicksOn_TL3(-0.012),ClicksOn_TL4(-0.014),ClicksOff_TL1(-0.008),ClicksOff_TL2(-0.010),ClicksOff_TL3(-0.012),ClicksOff_TL4(-0.014)
0.0667,34972.50566893424,34211.08276643991,32403.231292517008,30646.71201814059,352.49433106575964,105.58390022675736,100.93537414965986,86.62131519274377,8478.0,8236.0,7801.0,7376.0,12436.0,3725.0,3561.0,3056.0
0.0686,35685.40249433107,34014.682539682544,33454.76190476191,31936.904761904763,356.2641723356009,106.15079365079364,107.73809523809524,100.59523809523809,8650.0,8189.0,8055.0,7689.0,12569.0,3745.0,3801.0,3549.0
0.0706,36048.4126984127,34748.97959183674,33253.79818594105,34137.32993197279,359.9206349206349,117.68707482993197,112.86848072562358,112.67006802721087,8738.0,8368.0,8008.0,8220.0,12698.0,4152.0,3982.0,3975.0
0.0725,37011.93310657597,35539.030612244904,34852.097505668935,34246.45691609977,367.23356009070295,119.30272108843538,122.90249433106575,116.04308390022675,8971.0,8558.0,8394.0,8247.0,12956.0,4209.0,4336.0,4094.0
0.0745,37666.32653061225,35979.28004535148,36077.9761904762,35780.24376417234,371.17346938775506,129.0532879818594,126.19047619047619,123.92290249433105,9129.0,8666.0,8689.0,8617.0,13095.0,4553.0,4452.0,4372.0
0.0765,38059.18367346939,36022.13718820862,36189.54081632653,36044.359410430836,374.14965986394554,136.19614512471654,131.2925170068027,130.640589569161,9224.0,8678.0,8717.0,8682.0,13200.0,4805.0,4632.0,4609.0
0.0784,38183.900226757374,37679.76190476191,36754.47845804989,36478.968253968254,386.93310657596373,141.07142857142856,137.18820861678003,141.86507936507937,9257.0,9077.0,8854.0,8789.0,13651.0,4977.0,4840.0,5005.0
0.0804,39540.816326530614,37545.23809523809,37511.64965986395,36606.85941043084,392.5170068027211,154.76190476190476,146.68367346938774,147.30725623582765,9584.0,9048.0,9038.0,8821.0,13848.0,5460.0,5175.0,5197.0
0.0824,39595.15306122449,37296.31519274377,38109.268707482996,37121.65532879819,400.6802721088435,157.8514739229025,161.56462585034012,157.51133786848072,9599.0,8989.0,9185.0,8947.0,14136.0,5569.0,5700.0,5557.0
0.0843,39743.90589569161,37952.182539682544,38520.60657596372,37716.04308390023,426.9274376417233,176.984126984127,179.39342403628117,175.6235827664399,9641.0,9151.0,9288.0,9094.0,15062.0,6244.0,6329.0,6196.0
0.0863,40166.071428571435,38876.87074829932,38921.116780045355,38758.531746031746,450.5952380952381,206.46258503401359,203.88321995464852,199.8015873015873,9748.0,9380.0,9390.0,9350.0,15897.0,7284.0,7193.0,7049.0
0.0882,40691.72335600907,39953.74149659864,39726.899092970525,39201.58730158731,483.2766439909297,242.09183673469386,239.76757369614512,240.07936507936506,9882.0,9647.0,9592.0,9466.0,17050.0,8541.0,8459.0,8470.0
0.0902,42074.9716553288,40938.46371882086,40728.54308390023,40575.19841269842,558.3616780045352,311.5362811791383,308.95691609977325,308.1349206349206,10232.0,9900.0,9849.0,9812.0,19699.0,10991.0,10900.0,10871.0
0.0922,43411.45124716554,41829.024943310666,42066.751700680274,42034.80725623583,667.7154195011337,425.14172335600904,429.0816326530612,436.02607709750566,10579.0,10141.0,10199.0,10193.0,23557.0,14999.0,15138.0,15383.0
0.0941,45590.87301587302,43593.11224489796,44341.21315192744,43622.73242630385,884.1269841269841,640.2210884353741,633.7868480725623,639.7675736961451,11154.0,10616.0,10794.0,10623.0,31192.0,22587.0,22360.0,22571.0
0.0961,49523.724489795924,47672.19387755102,46924.80158730159,47199.291383219956,1217.9421768707482,977.8061224489795,975.1984126984127,975.7086167800453,12178.0,11676.0,11496.0,11562.0,42969.0,34497.0,34405.0,34423.0
0.098,55351.72902494331,53680.86734693877,53225.113378684815,53539.99433106576,1806.6043083900227,1594.1326530612243,1579.0532879818593,1576.672335600907,13718.0,13266.0,13153.0,13228.0,63737.0,56241.0,55709.0,55625.0
0.1,66602.06916099774,64231.150793650806,64100.42517006803,64314.512471655325,2897.9308390022675,2639.6825396825398,2653.7414965986395,2660.4875283446713,16680.0,16049.0,16021.0,16074.0,102239.0,93128.0,93624.0,93862.0
0.102,86320.35147392291,84652.35260770976,83766.43990929706,83732.11451247167,4787.981859410431,4551.814058956916,4541.893424036281,4551.218820861678,21866.0,21409.0,21194.0,21188.0,168920.0,160588.0,160238.0,160567.0
0.1039,131257.08616780047,129511.50793650796,128338.06689342404,128640.13605442179,8484.580498866213,8205.15873015873,8199.433106575963,8239.030612244898,33538.0,33052.0,32769.0,32851.0,299336.0,289478.0,289276.0,290673.0
0.1059,298679.6485260771,298508.13492063497,291354.2517006803,281704.9036281179,17049.518140589567,16787.698412698413,16745.748299319726,16711.763038548754,75775.0,75671.0,73944.0,71620.0,601507.0,592270.0,590790.0,589591.0
0.1078,935677.8628117914,919400.0566893425,907985.7709750567,875307.5396825398,60222.13718820862,58479.10997732426,58601.729024943306,56784.12698412698,239016.0,234691.0,231981.0,223702.0,2124637.0,2063143.0,2067469.0,2003344.0
0.1098,1785581.4909297053,1755307.5680272111,1704375.3401360544,1644940.3628117915,228143.50907029476,224950.76530612246,222137.15986394556,213855.47052154195,483294.0,475262.0,462363.0,446111.0,8048903.0,7936263.0,7836999.0,7544821.0
0.1118,2284147.307256236,2240962.8117913837,2160623.1859410433,2041230.1020408163,358731.8594104308,351516.35487528343,340018.48072562355,324982.39795918367,634291.0,622195.0,600154.0,567891.0,12656060.0,12401497.0,11995852.0,11465379.0
0.1137,2622386.7063492066,2529296.1167800454,2402712.4149659863,2257123.2426303853,447871.626984127,433045.5498866213,414337.5850340136,390639.2573696145,736862.0,710962.0,676092.0,635463.0,15800911.0,15277847.0,14617830.0,13781753.0
0.1157,2895324.121315193,2759004.166666667,2582999.6031746035,2375010.7142857146,500617.5453514739,479812.5,452154.5634920635,418539.2857142857,815026.0,777316.0,728437.0,670452.0,17661787.0,16927785.0,15952013.0,14766066.0
0.1147,2764280.8106575967,2649749.234693878,2501340.0510204085,2324114.200680272,477285.8560090703,458954.9319727891,436589.11564625846,407181.6326530612,777976.0,746089.0,705103.0,655511.0,16838645.0,16191930.0,15402864.0,14365368.0
