Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014)
0.1824,44068.964285714275,43101.24999999999,42483.85714285714,41321.21428571428,37685.28571428571,37410.5,13780.0,6071.5,3527.0,2529.0
0.1863,41990.392857142855,43763.678571428565,43253.03571428571,42513.78571428571,39674.178571428565,34085.5,12551.5,5955.0,3513.0,2716.0
0.1902,43251.249999999985,43413.678571428565,43218.99999999999,43107.74999999999,41209.142857142855,35755.0,12964.0,6393.5,3736.0,2810.5
0.1941,43988.214285714275,43732.928571428565,44129.178571428565,43412.57142857143,41574.21428571428,39785.0,14713.5,6573.5,3803.5,3011.5
0.198,43458.32142857142,44119.28571428571,44529.74999999999,44045.142857142855,42704.74999999999,33864.0,14157.5,6326.5,3724.5,2989.0
0.202,44599.428571428565,44390.678571428565,44566.392857142855,44319.78571428571,43763.60714285714,38947.0,14349.5,6334.5,3807.0,3048.0
0.2059,43121.07142857142,44168.428571428565,44583.03571428571,44842.178571428565,44608.78571428571,35445.0,12940.5,6025.0,3760.5,3080.5
0.2098,47339.499999999985,45300.57142857142,45062.82142857142,44870.428571428565,44679.82142857143,30498.0,12390.5,5897.0,3776.0,3105.0
0.2137,44815.178571428565,45125.892857142855,45385.96428571428,45368.07142857142,44713.28571428571,33187.5,12700.0,5906.0,3885.5,3213.5
0.2176,45725.464285714275,45573.10714285714,45432.678571428565,45397.85714285714,45232.03571428571,31116.5,12151.0,5870.0,3757.5,3213.5
0.2216,45526.85714285713,46228.53571428571,45289.03571428571,45664.28571428571,45522.07142857143,31328.5,12142.0,5981.5,3987.5,3306.5
0.2255,45426.642857142855,46034.392857142855,45910.53571428571,45885.03571428571,45744.35714285714,32243.0,12266.5,5885.0,3873.0,3273.5
0.2294,46310.57142857142,46620.60714285714,45970.10714285714,45914.32142857142,45685.178571428565,33005.5,12716.0,6116.5,4045.5,3292.5
0.2333,46449.714285714275,46744.82142857142,46158.21428571428,45738.32142857142,46531.53571428571,34748.5,13340.0,6502.5,4221.5,3376.5
0.2373,47443.57142857142,47130.28571428571,45958.24999999999,46436.99999999999,46254.99999999999,33710.0,12409.0,6073.0,3975.5,3532.5
0.2412,45913.07142857142,46674.78571428571,46835.78571428571,46582.82142857142,46344.96428571428,34340.5,12952.0,6153.5,4127.0,3497.0
0.2451,47002.678571428565,47333.89285714285,47074.428571428565,46604.35714285714,46724.46428571428,34975.0,13179.5,6134.5,4126.0,3630.0
0.249,48104.642857142855,47629.178571428565,47075.46428571428,47035.678571428565,47258.53571428571,34152.5,13261.0,6329.0,4329.5,3662.0
0.2529,47030.249999999985,47567.96428571428,47071.53571428571,46992.392857142855,46802.24999999999,34988.5,13599.0,6524.0,4421.0,3816.5
